sector_name,Sector_match
Manure mangement -  Turkeys,Other Industrial Processes
Mobile Combustion in manufacturing industries and construction,Fuel Comb Industrial
Multilateral operations,Other Industrial Processes
Municipal waste incineration,Waste disposal & recycling
National navigation (shipping),Off Highway
National total for compliance assessment  (please specify all details in the IIR),
National total for the entire territory (based on fuel sold),
Nickel production,Metals Processing
Nitric acid production,Chemical & Allied Product MFG
"Off-farm storage, handling and transport of bulk agricultural products",Storage & Transport
Open burning of waste,Waste disposal & recycling
Other,MISCELLANEOUS
Other (included in national total for entire territory),
Other fugitive emissions from energy production,Fuel Comb Elec Util
Other fugitive emissions from solid fuels,Fuel Comb Industrial
Other industrial processes,Other Industrial Processes
Other metal production,Metals Processing
Other mineral products,Other Industrial Processes
Other natural emissions,Other Industrial Processes
Other not included in national total of the entire territory,
Other organic fertilisers applied to soils  (including compost),Other Industrial Processes
Other product use,Other Industrial Processes
"Other production, consumption, storage, transportation or handling of bulk products",Storage & Transport
Other solvent use,Solvent Utilization
Other stationary (including military),Off Highway
Other waste,Waste disposal & recycling
Other waste incineration,Waste disposal & recycling
Other wastewater handling,Waste disposal & recycling
"Other, Mobile (including military, land based and recreational boats)",Off Highway
Petroleum refining,Petroleum & Related Industries
Pipeline transport,Off Highway
Printing,Other Industrial Processes
Production of POPs,Chemical & Allied Product MFG
Public electricity and heat production,Fuel Comb Elec Util
Pulp and paper industry,Other Industrial Processes
Quarrying and mining of minerals other than coal,Fuel Comb Industrial
Railways,Off Highway
Residential: Household and gardening (mobile),Other Industrial Processes
Residential: Stationary,Other Industrial Processes
Road paving with asphalt,Other Industrial Processes
Road transport: Automobile road abrasion,Highway vehicles
Road transport: Automobile tyre and brake wear,Highway vehicles
Road transport: Gasoline evaporation,Highway vehicles
Road transport: Heavy duty vehicles and buses,Highway vehicles
Road transport: Light duty vehicles,Highway vehicles
Road transport: Mopeds & motorcycles,Highway vehicles
Road transport: Passenger cars,Highway vehicles
Sewage sludge applied to soils,Waste disposal & recycling
Sewage sludge incineration,Waste disposal & recycling
Soda ash production,Other Industrial Processes
Stationary combustion in manufacturing industries and construction: Chemicals,Fuel Comb Industrial
"Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco",Fuel Comb Industrial
Stationary combustion in manufacturing industries and construction: Iron and steel,Fuel Comb Industrial
Stationary combustion in manufacturing industries and construction: Non-ferrous metals,Fuel Comb Industrial
Stationary combustion in manufacturing industries and construction: Non-metallic minerals,Fuel Comb Industrial
Stationary combustion in manufacturing industries and construction: Other,Fuel Comb Industrial
"Stationary combustion in manufacturing industries and construction: Pulp, Paper and Print",Fuel Comb Industrial
"Storage, handling and transport of chemical products",Storage & Transport
"Storage, handling and transport of metal products",Storage & Transport
"Storage, handling and transport of mineral products",Storage & Transport
Sum of adjustments (negative value) from Annex VII,
Titanium dioxide production,Metals Processing
Transport (fuel used),Highway vehicles
Urine and dung deposited by grazing animals,Other Industrial Processes
Use of pesticides,Other Industrial Processes
"Venting and flaring (oil, gas, combined oil and gas)",Fuel Comb Industrial
Volcanoes,MISCELLANEOUS
Wood processing,Other Industrial Processes
Zinc production,Metals Processing
